"name","ip_address","fqdn","state","guest_os_fullname","guest_reconciled","memory","sys_class_name","cpus","disks","change_control","bios_uuid","comments","company","correlation_id","sys_created_on","sys_created_by","dns_domain","short_description","discovery_source","disks_size","host_name","sys_domain","environment","first_discovered","server","image_path","install_status","location","mac_address","managed_by_group","managed_by","manufacturer","model_id","model_number","last_discovered","operational_status","delivery_date","order_date","owned_by","serial_number","size","support_group","supported_by","sys_tags","sys_updated_on","sys_updated_by","sys_mod_count","vm_cluster_name","vm_inst_id","vm_instance_uuid","vcenter_uuid","vcenter_ref","guest_id","host_id","vendor"
"AVProxy","10.123.61.15","idpa-avamarpx","On","SUSE Linux Enterprise 11 (64-bit)","false","4,096","VMware Virtual Machine Instance","4","2","","42306ccf-2a7c-abaf-651e-baccd6d3e677","","","42 30 6c cf 2a 7c ab af-65 1e ba cc d6 d3 e6 77","2023-05-04 16:26:58","prd_mid","","","ServiceNow","21","","global","","2023-05-04 16:26:58","","[DP-appliance-datastore] AVProxy_1/AVProxy.vmx","Installed","Royal Princess","","","","","","","2023-05-22 19:52:47","Operational","","","","","","","","","2023-05-22 19:52:47","prd_mid","5","","","50308da5-b918-e677-97d4-d9e8b0e73401","d93f10bc-c25c-453b-a822-e48e91511d84","vCenter@10.123.61.13","sles11_64Guest","",""
"DataProtection-VCSA","10.123.61.13","idpa-vcenter.rp.ocean.com","On","Other 3.x Linux (64-bit)","false","10,240","VMware Virtual Machine Instance","2","13","","564df805-9684-2d01-5b5b-cb948b9acdf2","","","56 4d f8 05 96 84 2d 01-5b 5b cb 94 8b 9a cd f2","2023-05-04 16:26:58","prd_mid","","","ServiceNow","279","","global","","2023-05-04 16:26:58","","[DP-appliance-datastore] DataProtection-VCSA/DataProtection-VCSA.vmx","Installed","Royal Princess","","","","","","","2023-05-22 19:52:47","Operational","","","","","","","","","2023-05-22 19:52:47","prd_mid","5","","","5221dddc-2dd4-5c91-8b70-ab63e89c22e3","d93f10bc-c25c-453b-a822-e48e91511d84","vCenter@10.123.61.13","other3xLinux64Guest","",""
"AVE","10.123.61.14","idpa-avamar","On","SUSE Linux Enterprise 12 (64-bit)","false","36,864","VMware Virtual Machine Instance","2","4","","4230ba1e-5116-72e3-2b12-c45f53ffb17b","","","42 30 ba 1e 51 16 72 e3-2b 12 c4 5f 53 ff b1 7b","2023-05-04 16:26:58","prd_mid","","","ServiceNow","4,769","","global","","2023-05-04 16:26:58","","[DP-appliance-datastore] AVE/AVE.vmx","Installed","Royal Princess","","","","","","","2023-05-22 19:52:47","Operational","","","","","","","","","2023-05-22 19:52:47","prd_mid","5","","","50305bce-c3c8-e99d-bc85-58cffe675657","d93f10bc-c25c-453b-a822-e48e91511d84","vCenter@10.123.61.13","sles12_64Guest","",""
"DataProtection-ACM","192.168.100.100","idpa-acm","On","SUSE Linux Enterprise 12 (64-bit)","false","8,192","VMware Virtual Machine Instance","4","2","","564d7688-63c2-5ebe-c071-472276192581","","","56 4d 76 88 63 c2 5e be-c0 71 47 22 76 19 25 81","2023-05-04 16:26:58","prd_mid","","","ServiceNow","450","","global","","2023-05-04 16:26:58","","[DP-appliance-datastore] DataProtection-ACM/DataProtection-ACM.vmx","Installed","Royal Princess","","","","","","","2023-05-22 19:52:47","Operational","","","","","","","","","2023-05-22 19:52:47","prd_mid","5","","","52e97786-fb65-4ec9-ebd7-36915392a8e9","d93f10bc-c25c-453b-a822-e48e91511d84","vCenter@10.123.61.13","sles12_64Guest","",""
"DPAApplicationServer","10.123.61.9","idpa-dpaap","On","SUSE Linux Enterprise 12 (64-bit)","false","16,384","VMware Virtual Machine Instance","4","2","","42309470-96e2-12c6-17bf-235bc697638a","","","42 30 94 70 96 e2 12 c6-17 bf 23 5b c6 97 63 8a","2023-05-04 16:26:58","prd_mid","","","ServiceNow","118","","global","","2023-05-04 16:26:58","","[DP-appliance-datastore] DPAApplicationServer/DPAApplicationServer.vmx","Installed","Royal Princess","","","","","","","2023-05-22 19:52:47","Operational","","","","","","","","","2023-05-22 19:52:47","prd_mid","5","","","5030b7fb-77ee-5805-24ae-db369023c794","d93f10bc-c25c-453b-a822-e48e91511d84","vCenter@10.123.61.13","sles12_64Guest","",""
"DDVE","10.123.61.16","idpa-ddmgr.rp.ocean.com","On","Other (64-bit)","false","81,920","VMware Virtual Machine Instance","8","31","","564df122-3173-09bc-c359-3ac49e7580b4","","","56 4d f1 22 31 73 09 bc-c3 59 3a c4 9e 75 80 b4","2023-05-04 16:26:58","prd_mid","","","ServiceNow","115,784","","global","","2023-05-04 16:26:58","","[DP-appliance-datastore] DDVE/DDVE.vmx","Installed","Royal Princess","","","","","","","2023-05-22 19:52:47","Operational","","","","","","","","","2023-05-22 19:52:47","prd_mid","5","","","521ad513-ea02-3a2f-d793-f5ea4c421fa8","d93f10bc-c25c-453b-a822-e48e91511d84","vCenter@10.123.61.13","otherGuest64","",""
"DPC","10.123.61.19","idpa-sysmgr","On","SUSE Linux Enterprise 12 (64-bit)","false","4,096","VMware Virtual Machine Instance","2","2","","42302431-100b-f402-e953-925b88f52219","","","42 30 24 31 10 0b f4 02-e9 53 92 5b 88 f5 22 19","2023-05-04 16:26:58","prd_mid","","","ServiceNow","546","","global","","2023-05-04 16:26:58","","[DP-appliance-datastore] DPC/DPC.vmx","Installed","Royal Princess","","","","","","","2023-05-22 19:52:47","Operational","","","","","","","","","2023-05-22 19:52:47","prd_mid","5","","","5030cb71-5ea3-846c-eda3-de0d6834ffa1","d93f10bc-c25c-453b-a822-e48e91511d84","vCenter@10.123.61.13","sles12_64Guest","",""
"DPADatastoreServer","10.123.61.10","idpa-dpads","On","SUSE Linux Enterprise 12 (64-bit)","false","16,384","VMware Virtual Machine Instance","4","2","","4230bcf0-3674-ae80-387a-5a964e87aaa8","","","42 30 bc f0 36 74 ae 80-38 7a 5a 96 4e 87 aa a8","2023-05-04 16:26:58","prd_mid","","","ServiceNow","118","","global","","2023-05-04 16:26:58","","[DP-appliance-datastore] DPADatastoreServer/DPADatastoreServer.vmx","Installed","Royal Princess","","","","","","","2023-05-22 19:52:47","Operational","","","","","","","","","2023-05-22 19:52:47","prd_mid","5","","","5030c204-c0b2-6e2a-259c-a5fe8296266f","d93f10bc-c25c-453b-a822-e48e91511d84","vCenter@10.123.61.13","sles12_64Guest","",""
"DataProtection-ACM","192.168.100.100","idpa-acm","On","SUSE Linux Enterprise 12 (64-bit)","false","8,192","VMware Virtual Machine Instance","4","2","","564d995c-755c-973d-4111-f6a5b4d5b01a","","","56 4d 99 5c 75 5c 97 3d-41 11 f6 a5 b4 d5 b0 1a","2023-05-11 07:24:21","prd_mid","","","ServiceNow","450","","global","","2023-05-11 07:24:21","","[DP-appliance-datastore] DataProtection-ACM/DataProtection-ACM.vmx","Installed","Ruby Princess","","","","","","","2023-05-22 19:16:19","Operational","","","","","","","","","2023-05-22 19:16:19","prd_mid","2","","","5269d86d-39a2-1bc7-26cc-00d5a6b8d24f","ca834ec9-460f-4743-977e-b09404606f2d","vCenter@10.123.125.13","sles12_64Guest","",""
"DDVE","10.123.125.16","idpa-ddmgr.ru.ocean.com","On","Other (64-bit)","false","81,920","VMware Virtual Machine Instance","8","31","","564d8425-a5ef-a943-0146-a6df5977077f","","","56 4d 84 25 a5 ef a9 43-01 46 a6 df 59 77 07 7f","2023-05-11 07:24:21","prd_mid","","","ServiceNow","115,784","","global","","2023-05-11 07:24:21","","[DP-appliance-datastore] DDVE/DDVE.vmx","Installed","Ruby Princess","","","","","","","2023-05-22 19:16:19","Operational","","","","","","","","","2023-05-22 19:16:19","prd_mid","2","","","52867893-51be-6cf4-bae8-ffcea822359a","ca834ec9-460f-4743-977e-b09404606f2d","vCenter@10.123.125.13","otherGuest64","",""
